Country_exporting_to_India,Principal_Commodity,Quantity_2011_12,Quantity_2012_13
CANADA,RICE,42,0
CHINA P RP,RICE,57,0
HONG KONG,RICE,0,0
IRAN,RICE,0,14
ITALY,RICE,37,44
JAPAN,RICE,4,6
KOREA RP,RICE,14,0
NETHERLAND,RICE,2,0
SAUDI ARAB,RICE,460,0
SINGAPORE,RICE,72,0
SPAIN,RICE,206,241
SWITZERLAND,RICE,2,0
THAILAND,RICE,128,216
TURKEY,RICE,0,0
U ARAB EMTS,RICE,0,24
U K,RICE,0,0
U S A,RICE,36,148
VIETNAM SOC REP,RICE,0,5
AFGHANISTAN TIS,PULSES,0,3093
ANGOLA,PULSES,0,119
ARGENTINA,PULSES,10498,36694
AUSTRALIA,PULSES,282674,695226
AUSTRIA,PULSES,742,613
BAHAMAS,PULSES,0,72
BAHARAIN IS,PULSES,545,288
BANGLADESH PR,PULSES,12,121
BELGIUM,PULSES,2004,2927
BENIN,PULSES,2320,96
BRAZIL,PULSES,549,2261
BULGARIA,PULSES,120,49
CAMBODIA,PULSES,0,50
CANADA,PULSES,1439193,1087445
CHILE,PULSES,480,477
TAIWAN,PULSES,6892,5057
CHINA P RP,PULSES,118181,105932
COMOROS,PULSES,0,119
COSTA RICA,PULSES,240,189
CYPRUS,PULSES,0,243
CZECH REPUBLIC,PULSES,654,485
DENMARK,PULSES,9198,479
DJIBOUTI,PULSES,0,210
DOMINIC REP,PULSES,0,72
EGYPT A RP,PULSES,189,1050
EL SALVADOR,PULSES,168,0
ETHIOPIA,PULSES,8291,25423
FINLAND,PULSES,120,790
FRANCE,PULSES,96445,119595
GEORGIA,PULSES,120,110
GERMANY,PULSES,11817,7074
GHANA,PULSES,380,72
GREECE,PULSES,398,615
GUINEA,PULSES,120,239
GUINEA BISSAU,PULSES,204,106
GUYANA,PULSES,918,244
HONG KONG,PULSES,2458,198
HUNGARY,PULSES,0,309
INDONESIA,PULSES,6241,13691
IRAN,PULSES,1039,1824
IRAQ,PULSES,0,1173
IRELAND,PULSES,48,0
ISRAEL,PULSES,1043,979
ITALY,PULSES,4871,4330
COTE D' IVOIRE,PULSES,548,377
JAPAN,PULSES,8790,6500
JORDAN,PULSES,0,22
KENYA,PULSES,1950,13064
KYRGHYZSTAN,PULSES,0,24
KOREA RP,PULSES,12461,6259
KUWAIT,PULSES,0,216
LEBANON,PULSES,0,138
LITHUANIA,PULSES,50,0
LUXEMBOURG,PULSES,240,0
MADAGASCAR,PULSES,1660,3451
MALAWI,PULSES,29865,59087
MALAYSIA,PULSES,6014,3303
MALDIVES,PULSES,301,0
MAURITIUS,PULSES,72,0
MYANMAR,PULSES,655723,827961
MEXICO,PULSES,821,10526
MOROCCO,PULSES,124,0
MOZAMBIQUE,PULSES,59534,64045
NEPAL,PULSES,2855,57
NETHERLAND,PULSES,3352,2618
NEW ZEALAND,PULSES,192,841
NIGERIA,PULSES,120,206
NORWAY,PULSES,276,360
OMAN,PULSES,120,438
PAKISTAN IR,PULSES,572,364
PARAGUAY,PULSES,0,96
PERU,PULSES,0,24
PHILIPPINES,PULSES,909,609
POLAND,PULSES,505,263
QATAR,PULSES,1180,585
ROMANIA,PULSES,452,726
RUSSIA,PULSES,259539,312759
SAUDI ARAB,PULSES,2380,3445
SLOVAK REP,PULSES,72,0
SINGAPORE,PULSES,5256,2236
SLOVENIA,PULSES,0,238
SOUTH AFRICA,PULSES,1303,1833
SPAIN,PULSES,2074,1438
SRI LANKA DSR,PULSES,2164,503
SUDAN,PULSES,398,981
SURINAME,PULSES,169,0
SWEDEN,PULSES,844,1320
SWITZERLAND,PULSES,898,1224
SYRIA,PULSES,0,139
TANZANIA REP,PULSES,74285,128408
THAILAND,PULSES,7173,5031
TOGO,PULSES,239,122
TRINIDAD,PULSES,46,0
TURKEY,PULSES,6793,3893
TURKMENISTAN,PULSES,72,0
UGANDA,PULSES,0,346
U ARAB EMTS,PULSES,3420,2486
U K,PULSES,7049,4206
UKRAINE,PULSES,69008,48113
U S A,PULSES,118755,182767
URUGUAY,PULSES,168,0
UZBEKISTAN,PULSES,2276,12814
VIETNAM SOC REP,PULSES,2278,756
CONGO D. REP.,PULSES,0,120
UNSPECIFIED,PULSES,284,82
AUSTRALIA,RAW CASHEW NUTS,432,18
AUSTRIA,RAW CASHEW NUTS,50,0
BAHARAIN IS,RAW CASHEW NUTS,279,0
BANGLADESH PR,RAW CASHEW NUTS,0,20
BENIN,RAW CASHEW NUTS,122301,155989
BRAZIL,RAW CASHEW NUTS,0,221
BURKINA FASO,RAW CASHEW NUTS,9933,3344
CAMBODIA,RAW CASHEW NUTS,492,231
CANADA,RAW CASHEW NUTS,368,0
TAIWAN,RAW CASHEW NUTS,101,100
CHINA P RP,RAW CASHEW NUTS,5662,2621
CONGO P REP,RAW CASHEW NUTS,99,97
COSTA RICA,RAW CASHEW NUTS,184,0
CZECH REPUBLIC,RAW CASHEW NUTS,51,0
DENMARK,RAW CASHEW NUTS,52,0
EGYPT A RP,RAW CASHEW NUTS,327,0
EL SALVADOR,RAW CASHEW NUTS,288,141
FINLAND,RAW CASHEW NUTS,98,541
FRANCE,RAW CASHEW NUTS,0,321
GABON,RAW CASHEW NUTS,0,57
GAMBIA,RAW CASHEW NUTS,25144,22179
GERMANY,RAW CASHEW NUTS,1059,398
GHANA,RAW CASHEW NUTS,128361,83771
GUATEMALA,RAW CASHEW NUTS,0,50
GUINEA,RAW CASHEW NUTS,23393,9729
GUINEA BISSAU,RAW CASHEW NUTS,136383,104411
HONG KONG,RAW CASHEW NUTS,17,0
INDONESIA,RAW CASHEW NUTS,40244,42019
IRAN,RAW CASHEW NUTS,166,233
ISRAEL,RAW CASHEW NUTS,480,0
ITALY,RAW CASHEW NUTS,336,92
COTE D' IVOIRE,RAW CASHEW NUTS,181264,264150
JAPAN,RAW CASHEW NUTS,252,0
JORDAN,RAW CASHEW NUTS,68,0
KOREA RP,RAW CASHEW NUTS,271,18
KUWAIT,RAW CASHEW NUTS,226,186
MADAGASCAR,RAW CASHEW NUTS,1068,226
MALAWI,RAW CASHEW NUTS,0,33
MALAYSIA,RAW CASHEW NUTS,1052,216
MALDIVES,RAW CASHEW NUTS,92,127
MALI,RAW CASHEW NUTS,2246,0
MALTA,RAW CASHEW NUTS,108,0
MYANMAR,RAW CASHEW NUTS,1163,163
MOROCCO,RAW CASHEW NUTS,97,0
MOZAMBIQUE,RAW CASHEW NUTS,20066,7585
NETHERLAND,RAW CASHEW NUTS,32,0
NIGERIA,RAW CASHEW NUTS,10308,27170
OMAN,RAW CASHEW NUTS,104,256
PAKISTAN IR,RAW CASHEW NUTS,950,204
PANAMA REPUBLIC,RAW CASHEW NUTS,142,103
PAPUA N GNA,RAW CASHEW NUTS,0,93
POLAND,RAW CASHEW NUTS,18,16
PORTUGAL,RAW CASHEW NUTS,166,0
RUSSIA,RAW CASHEW NUTS,286,162
SAUDI ARAB,RAW CASHEW NUTS,1182,1012
SENEGAL,RAW CASHEW NUTS,18377,12621
SINGAPORE,RAW CASHEW NUTS,347,748
SOUTH AFRICA,RAW CASHEW NUTS,417,18
SPAIN,RAW CASHEW NUTS,179,0
SRI LANKA DSR,RAW CASHEW NUTS,1692,1932
SUDAN,RAW CASHEW NUTS,53,85
SURINAME,RAW CASHEW NUTS,99,0
SWEDEN,RAW CASHEW NUTS,191,677
TANZANIA REP,RAW CASHEW NUTS,60011,142068
THAILAND,RAW CASHEW NUTS,793,473
TOGO,RAW CASHEW NUTS,4698,3757
TRINIDAD,RAW CASHEW NUTS,0,101
TUNISIA,RAW CASHEW NUTS,47,0
TURKEY,RAW CASHEW NUTS,80,0
U ARAB EMTS,RAW CASHEW NUTS,2109,320
U K,RAW CASHEW NUTS,654,0
U S A,RAW CASHEW NUTS,1520,798
VIETNAM SOC REP,RAW CASHEW NUTS,888,68
ZAMBIA,RAW CASHEW NUTS,0,191
UNSPECIFIED,RAW CASHEW NUTS,205,0
AFGHANISTAN TIS,SPICES,1484483,1737057
ALBANIA,SPICES,19068,17672
AUSTRALIA,SPICES,239945,81036
AUSTRIA,SPICES,46125,12319
BAHARAIN IS,SPICES,16958,40339
BANGLADESH PR,SPICES,330032,659012
BELIZE,SPICES,0,7000
BELGIUM,SPICES,141640,21983
BENIN,SPICES,32490,0
BOSNIA-HRZGOVIN,SPICES,26000,0
BRAZIL,SPICES,663412,132129
BULGARIA,SPICES,396000,137820
CAMBODIA,SPICES,20000,4
CANADA,SPICES,187441,36041
CHILE,SPICES,23378,0
TAIWAN,SPICES,163806,129746
CHINA P RP,SPICES,15506922,6656568
COLOMBIA,SPICES,1952,1500
COMOROS,SPICES,218040,733400
COSTA RICA,SPICES,16000,0
CZECH REPUBLIC,SPICES,43620,85000
DENMARK,SPICES,13473,758
DJIBOUTI,SPICES,0,483000
DOMINIC REP,SPICES,5100,0
EGYPT A RP,SPICES,594492,361468
ETHIOPIA,SPICES,311269,324192
FINLAND,SPICES,971472,955740
FRANCE,SPICES,314808,335449
GAMBIA,SPICES,0,8400
GERMANY,SPICES,461182,520210
GHANA,SPICES,1200,0
GREECE,SPICES,17018,5261
GRENADA,SPICES,0,25
GUATEMALA,SPICES,65000,596780
GUINEA,SPICES,7875,0
GUINEA BISSAU,SPICES,24350,0
HAITI,SPICES,408,1812
HONG KONG,SPICES,171199,40749
HUNGARY,SPICES,123,2010
ICELAND,SPICES,0,1
INDONESIA,SPICES,9449695,8120537
IRAN,SPICES,305030,229094
IRELAND,SPICES,182,6400
ISRAEL,SPICES,68212,31995
ITALY,SPICES,2521981,3691015
JAMAICA,SPICES,61150,80050
JAPAN,SPICES,593778,285940
JORDAN,SPICES,2389,0
KAZAKHSTAN,SPICES,12701,3927
KENYA,SPICES,34600,0
KOREA RP,SPICES,793999,252496
KUWAIT,SPICES,25000,2266
LAO PD RP,SPICES,1200,0
LEBANON,SPICES,581,0
MADAGASCAR,SPICES,5468214,5009890
MALAYSIA,SPICES,355331,465313
MAURITIUS,SPICES,23,0
MYANMAR,SPICES,1052288,1538000
MEXICO,SPICES,68212,130962
MOROCCO,SPICES,397343,718950
MOZAMBIQUE,SPICES,55366,5013
NEPAL,SPICES,29748979,63961015
NETHERLAND,SPICES,298403,318821
NETHERLANDANTIL,SPICES,1113,2424
NEW ZEALAND,SPICES,42525,106417
NIGERIA,SPICES,1685624,2949919
OMAN,SPICES,244,6815
PAKISTAN IR,SPICES,2711146,604859
PARAGUAY,SPICES,10000,9100
PERU,SPICES,49289,42000
PHILIPPINES,SPICES,2741,24
POLAND,SPICES,59803,3726
PORTUGAL,SPICES,57373,0
QATAR,SPICES,34275,2000
ROMANIA,SPICES,57000,87000
RUSSIA,SPICES,106076,195800
RWANDA,SPICES,12000,0
SAUDI ARAB,SPICES,220660,106807
SENEGAL,SPICES,47000,0
SINGAPORE,SPICES,494551,271667
SLOVENIA,SPICES,0,20
SOUTH AFRICA,SPICES,65021,106991
SPAIN,SPICES,320817,208818
SRI LANKA DSR,SPICES,6340546,10904311
SUDAN,SPICES,5000,0
SWEDEN,SPICES,87762,10027
SWITZERLAND,SPICES,326544,59547
SYRIA,SPICES,237861,75000
TAJIKISTAN,SPICES,40000,0
TANZANIA REP,SPICES,1141346,1990801
THAILAND,SPICES,874420,899171
TOGO,SPICES,0,180
TUNISIA,SPICES,150,6650
TURKEY,SPICES,16301346,11329359
UGANDA,SPICES,7000,0
U ARAB EMTS,SPICES,420690,507188
U K,SPICES,559172,166833
UKRAINE,SPICES,111087,182140
U S A,SPICES,2372958,1313946
URUGUAY,SPICES,24000,0
UZBEKISTAN,SPICES,59474,139225
VENEZUELA,SPICES,0,14000
VIETNAM SOC REP,SPICES,19697240,21710099
VIRGIN IS US,SPICES,0,34000
ZAMBIA,SPICES,1250,0
ZIMBABWE,SPICES,0,47748
UNSPECIFIED,SPICES,252864,703172
AUSTRALIA,SUGAR,1,0
AUSTRIA,SUGAR,6,5
BAHARAIN IS,SUGAR,0,0
BANGLADESH PR,SUGAR,0,21
BELGIUM,SUGAR,2,2
BRAZIL,SUGAR,98519,1108215
CANADA,SUGAR,103,74
TAIWAN,SUGAR,0,0
CHINA P RP,SUGAR,457,77
CZECH REPUBLIC,SUGAR,0,0
EGYPT A RP,SUGAR,0,0
FINLAND,SUGAR,0,0
FRANCE,SUGAR,19,94
GERMANY,SUGAR,88,145
HONG KONG,SUGAR,1,0
INDONESIA,SUGAR,14,20
IRELAND,SUGAR,4,0
ISRAEL,SUGAR,0,0
ITALY,SUGAR,1,0
JAPAN,SUGAR,22,19
JORDAN,SUGAR,0,0
KOREA RP,SUGAR,67,18
LIBERIA,SUGAR,0,5
MALAYSIA,SUGAR,0,1
MYANMAR,SUGAR,0,1
MEXICO,SUGAR,0,0
NETHERLAND,SUGAR,20,25
NEW ZEALAND,SUGAR,0,10
NIGERIA,SUGAR,0,0
PAKISTAN IR,SUGAR,1,4856
PHILIPPINES,SUGAR,0,0
POLAND,SUGAR,5,0
SAUDI ARAB,SUGAR,1,1
SLOVAK REP,SUGAR,0,17
SINGAPORE,SUGAR,2,2
SOUTH AFRICA,SUGAR,5,0
SPAIN,SUGAR,0,1
SWITZERLAND,SUGAR,1,0
THAILAND,SUGAR,0,1
TURKEY,SUGAR,1,2
U ARAB EMTS,SUGAR,50,375
U K,SUGAR,85,72
U S A,SUGAR,252,254
AFGHANISTAN TIS,PULP AND WASTE PAPER,0,103
ALBANIA,PULP AND WASTE PAPER,102,0
ALGERIA,PULP AND WASTE PAPER,6723,9497
ARGENTINA,PULP AND WASTE PAPER,25,616
AUSTRALIA,PULP AND WASTE PAPER,12610,11270
AUSTRIA,PULP AND WASTE PAPER,12721,14720
BAHARAIN IS,PULP AND WASTE PAPER,29458,31595
BANGLADESH PR,PULP AND WASTE PAPER,0,116
BARBADOS,PULP AND WASTE PAPER,46,0
BELGIUM,PULP AND WASTE PAPER,66831,43999
BENIN,PULP AND WASTE PAPER,43,79
BOSNIA-HRZGOVIN,PULP AND WASTE PAPER,25,486
BRAZIL,PULP AND WASTE PAPER,5143,4058
BULGARIA,PULP AND WASTE PAPER,0,121
BELARUS,PULP AND WASTE PAPER,110,0
CAMEROON,PULP AND WASTE PAPER,149,306
CANADA,PULP AND WASTE PAPER,153009,171178
CHILE,PULP AND WASTE PAPER,45863,60044
TAIWAN,PULP AND WASTE PAPER,7256,6280
CHINA P RP,PULP AND WASTE PAPER,78061,66009
COLOMBIA,PULP AND WASTE PAPER,0,171
COMOROS,PULP AND WASTE PAPER,0,35
COSTA RICA,PULP AND WASTE PAPER,0,244
CYPRUS,PULP AND WASTE PAPER,10945,13959
CZECH REPUBLIC,PULP AND WASTE PAPER,587,121
DENMARK,PULP AND WASTE PAPER,784,188
DOMINIC REP,PULP AND WASTE PAPER,1054,548
EGYPT A RP,PULP AND WASTE PAPER,954,351
EL SALVADOR,PULP AND WASTE PAPER,0,246
ESTONIA,PULP AND WASTE PAPER,17533,28009
ETHIOPIA,PULP AND WASTE PAPER,0,49
ERITREA,PULP AND WASTE PAPER,124,0
FINLAND,PULP AND WASTE PAPER,40454,32114
FRANCE,PULP AND WASTE PAPER,34318,24584
GABON,PULP AND WASTE PAPER,151,0
GAMBIA,PULP AND WASTE PAPER,120,0
GEORGIA,PULP AND WASTE PAPER,52,943
GERMANY,PULP AND WASTE PAPER,33834,21165
GHANA,PULP AND WASTE PAPER,1969,3355
GREECE,PULP AND WASTE PAPER,6445,9315
GUADELOUPE,PULP AND WASTE PAPER,0,1627
GUATEMALA,PULP AND WASTE PAPER,1580,3022
GUINEA,PULP AND WASTE PAPER,0,24
GUINEA BISSAU,PULP AND WASTE PAPER,0,260
GUYANA,PULP AND WASTE PAPER,146,0
HONDURAS,PULP AND WASTE PAPER,1043,1009
HONG KONG,PULP AND WASTE PAPER,1505,469
HUNGARY,PULP AND WASTE PAPER,20,0
ICELAND,PULP AND WASTE PAPER,2271,234
INDONESIA,PULP AND WASTE PAPER,271807,261558
IRAN,PULP AND WASTE PAPER,6421,777
IRAQ,PULP AND WASTE PAPER,0,99
IRELAND,PULP AND WASTE PAPER,31739,29198
ISRAEL,PULP AND WASTE PAPER,17037,17584
ITALY,PULP AND WASTE PAPER,18187,12176
COTE D' IVOIRE,PULP AND WASTE PAPER,1007,1511
JAPAN,PULP AND WASTE PAPER,8968,8000
JORDAN,PULP AND WASTE PAPER,5284,6303
KAZAKHSTAN,PULP AND WASTE PAPER,63,0
KENYA,PULP AND WASTE PAPER,5593,13819
KOREA RP,PULP AND WASTE PAPER,14297,9144
KUWAIT,PULP AND WASTE PAPER,54839,45860
LATVIA,PULP AND WASTE PAPER,230,0
LEBANON,PULP AND WASTE PAPER,0,261
LIBERIA,PULP AND WASTE PAPER,6,119
LIBYA,PULP AND WASTE PAPER,21,418
LITHUANIA,PULP AND WASTE PAPER,0,119
LUXEMBOURG,PULP AND WASTE PAPER,24,0
MACAO,PULP AND WASTE PAPER,100,0
